05583070+0742101 4841 82 3.03 0.21 -0.35 0.08 1.08 0.38 2.455 Br22
05583083+0748568 6064 81 4.44 0.22 -0.09 0.08 2.92 0.17 2.455 Br22
05583211+0747092 4649 63 2.34 0.17 -0.35 0.05 0.32 0.17 2.455 Br22
05584293+0745527 5754 82 4.75 0.22 -0.16 0.08 1.92 0.00 2.455 Br22
05580941+0739108 4918 77 4.43 0.22 -0.04 0.07 1.23 0.32 2.455 Br22
05581416+0741316 5397 81 3.67 0.22 -0.05 0.08 2.18 0.22 2.455 Br22
05581517+0743214 5278 82 2.83 0.22 -0.94 0.08 2.08 0.18 2.455 Br22
05581676+0744469 5539 82 3.35 0.22 -0.55 0.08 1.69 0.00 2.455 Br22
05581893+0747317 4828 82 3.41 0.22 -0.73 0.08 1.30 0.20 2.455 Br22
05582101+0745062 5061 103 4.77 0.31 -0.55 0.10 1.40 0.00 2.455 Br22
05582215+0745435 5916 84 4.27 0.33 -0.60 0.08 1.93 0.00 2.455 Br22
05582271+0750457 4976 81 3.44 0.22 -0.20 0.07 1.76 0.21 2.455 Br22
05582504+0740097 5508 82 3.93 0.22 0.22 0.08 1.78 0.00 2.455 Br22
05582514+0747047 5600 81 3.13 0.21 -0.49 0.08 2.04 0.36 2.455 Br22
05582603+0744425 5983 82 3.20 0.22 -1.03 0.08 2.08 0.00 2.455 Br22
05582702+0748290 6132 79 4.87 0.22 -0.62 0.08 2.91 0.17 2.455 Br22
05582910+0744222 4963 84 3.25 0.21 -0.06 0.08 1.29 0.45 2.455 Br22
05583157+0738286 5417 81 4.98 0.21 0.12 0.07 1.70 0.35 2.455 Br22
05575735+0743580 5617 103 4.08 0.34 -0.27 0.09 2.15 0.22 2.455 Br22
05580029+0748379 6331 83 4.44 0.22 -0.45 0.07 3.09 0.16 2.455 Br22
05580071+0743152 5009 66 4.64 0.17 -0.23 0.05 1.02 0.00 2.455 Br22
05580228+0744597 5844 81 3.67 0.22 -0.58 0.08 2.65 0.18 2.455 Br22
05580311+0747273 5527 82 3.60 0.22 0.16 0.08 1.87 0.00 2.455 Br22
05580326+0739486 6947 104 4.17 0.33 -0.07 0.09 3.14 0.29 2.455 Br22
05580752+0738087 4968 64 4.47 0.17 0.15 0.06 0.82 0.00 2.455 Br22
05580851+0747302 5630 80 3.28 0.22 -0.33 0.08 1.68 0.00 2.455 Br22
05580865+0749392 5970 83 3.52 0.22 -0.56 0.08 1.94 0.00 2.455 Br22
05581312+0743255 5270 66 3.67 0.17 -0.36 0.06 1.78 0.16 2.455 Br22
05581738+0746522 5171 63 3.53 0.17 -0.31 0.05 1.05 0.00 2.455 Br22
05582053+0744052 5764 79 4.43 0.22 -0.88 0.08 2.32 0.00 2.455 Br22
05582222+0742260 6473 103 4.74 0.33 -0.08 0.10 3.34 0.19 2.455 Br22
05582366+0744166 6232 82 4.25 0.33 -0.48 0.10 2.43 0.32 2.455 Br22
05582498+0741188 5936 82 4.20 0.33 -0.85 0.09 2.62 0.00 2.455 Br22
05582704+0747017 4764 65 4.71 0.18 0.07 0.06 0.88 0.00 2.455 Br22
05583147+0745301 6152 80 3.87 0.34 -0.65 0.08 2.11 0.00 2.455 Br22
05583421+0750435 6560 87 4.19 0.22 0.06 0.08 3.30 0.15 2.455 Br22
05583628+0747086 4899 104 4.83 0.31 -0.16 0.09 1.41 0.28 2.455 Br22
05583752+0741251 5185 83 3.40 0.22 -0.35 0.08 1.23 0.00 2.455 Br22
05584819+0745561 6229 81 3.98 0.22 -0.87 0.08 2.97 0.00 2.455 Br22
